OBJECTID,DAUID,CSDUID,CSDNAME,TOT_MOBILITY_STATUS_1YR_AGO,MS1_NON_MOVERS,MS1_MOVERS,MS1_NONMIGRANTS,MS1_MIGRANTS,MS1_INTERNAL_MIGRANTS,MS1_INTERNAL_INTRAPROV_MIGRANT,MS1_INTERNAL_INTERPROV_MIGRANT,MS1_EXTERNAL_MIGRANT,TOT_MOBILITY_STATUS_5YR_AGO,MS5_NON_MOVERS,MS5_MOVERS,MS5_NONMIGRANTS,MS5_MIGRANTS,MS5_INTERNAL_MIGRANTS,MS5_INTERNAL_INTRAPROV_MIGRANT,MS5_INTERNAL_INTERPROV_MIGRANT,MS5_EXTERNAL_MIGRANT,Shape__Area,Shape__Length
1,35191319,3519028,Vaughan,1040,935,105,50,60,35,40,0,20,995,635,355,185,170,95,95,10,75,165700.597167969,1881.20406642068
2,35191314,3519028,Vaughan,1200,1040,160,70,85,60,55,10,25,1135,655,485,260,220,105,95,10,115,635367.91796875,3568.83213665361
3,35191037,3519028,Vaughan,6285,5805,480,265,215,125,110,10,90,6010,4330,1675,725,955,520,505,15,430,1405759.25976563,5055.08092144868
4,35190824,3519028,Vaughan,2150,2085,60,55,10,10,10,0,0,2085,1835,250,170,80,50,50,0,30,646140.728515625,4272.21423171423
5,35190825,3519028,Vaughan,565,540,25,25,0,10,0,0,0,555,450,100,90,15,15,0,15,0,253793.928710938,2756.34814148423
6,35190237,3519028,Vaughan,200,185,15,0,15,0,0,0,0,195,160,40,10,35,0,0,0,25,82690.9775390625,1176.55139082904
7,35190238,3519028,Vaughan,385,355,25,15,15,10,15,0,0,390,315,75,60,20,10,10,0,10,137492.828369141,1719.78949080222
8,35191309,3519038,Richmond Hill,1650,1410,245,110,130,80,80,0,50,1610,830,785,390,395,250,240,10,150,177139.675048828,2698.18381915566
9,35191237,3519038,Richmond Hill,350,290,55,45,15,10,10,0,0,320,165,155,60,90,40,45,0,50,44463.6889648438,1015.4186725859
10,35190239,3519028,Vaughan,565,540,20,0,15,10,15,0,0,555,460,100,85,15,10,0,10,0,213820.997070313,3016.56736379647
11,35190240,3519028,Vaughan,415,400,20,15,0,0,0,0,0,415,390,30,25,10,10,10,0,0,212163.250732422,1846.30070081721
12,35190186,3519028,Vaughan,1100,1070,30,25,0,0,0,0,0,1095,965,140,70,65,60,60,0,0,653840.360595703,4180.58994671853
13,35191070,3519028,Vaughan,270,255,10,10,0,0,0,0,0,265,205,60,35,20,20,20,0,0,108567.844482422,1302.51139605849
14,35190187,3519028,Vaughan,325,325,0,0,0,0,0,0,0,305,215,90,75,15,20,15,0,0,123624.251708984,1429.75189243909
15,35191071,3519028,Vaughan,655,655,0,0,0,0,0,0,0,650,575,80,55,25,25,20,0,0,272667.506103516,2342.1774755414
16,35191072,3519028,Vaughan,495,490,0,0,10,0,0,0,10,475,380,95,45,55,35,35,0,15,168223.34375,2127.42610517005
17,35191073,3519028,Vaughan,250,220,25,10,20,15,15,0,0,235,165,70,35,35,35,35,0,0,68845.98046875,1164.87528995141
18,35190856,3519038,Richmond Hill,315,275,40,20,20,25,25,0,0,310,220,85,30,60,20,20,0,35,182897.863037109,2416.13495559259
19,35190857,3519038,Richmond Hill,320,290,30,10,25,25,15,10,0,315,230,85,0,85,65,60,0,25,168889.228271484,2354.88345283797
20,35190859,3519038,Richmond Hill,730,550,180,85,95,50,50,0,45,695,215,480,235,240,120,125,0,120,185958.497070313,2381.45219541785
21,35190860,3519038,Richmond Hill,330,265,60,20,40,15,10,0,30,305,220,85,50,40,15,15,0,20,265009.230957031,3141.28355117547
22,35190858,3519038,Richmond Hill,390,350,40,10,35,30,30,0,0,380,250,130,50,85,65,65,0,15,127832,1564.61530120774
23,35190867,3519038,Richmond Hill,335,280,50,40,0,0,0,0,10,325,185,140,105,30,25,25,0,0,218324.568603516,2475.33632664723
24,35190866,3519038,Richmond Hill,460,400,65,0,55,20,15,0,40,445,355,90,30,60,30,30,0,30,201488.790527344,1836.74172908452
25,35190861,3519038,Richmond Hill,410,345,65,35,30,25,25,0,10,400,250,150,105,45,35,35,0,10,315997.04296875,3275.97770010492
26,35190352,3519028,Vaughan,800,735,65,10,60,50,50,0,10,790,580,210,85,125,95,90,0,35,349133.187255859,4763.54003908962
27,35190862,3519038,Richmond Hill,545,540,0,10,0,10,0,0,0,545,355,190,100,95,30,30,0,65,368464.724853516,2835.16068572345
28,35191074,3519028,Vaughan,705,635,70,60,10,10,10,0,0,685,545,140,90,55,45,45,0,10,717130.204101563,8005.39759026732
29,35190189,3519028,Vaughan,580,555,30,0,25,25,15,10,0,575,455,120,75,45,35,30,0,10,192609.900146484,1815.04311097329
30,35190235,3519028,Vaughan,485,480,10,0,10,10,10,0,0,480,470,10,10,10,0,0,0,0,204748.404296875,1811.1911937392
31,35190242,3519028,Vaughan,590,550,40,20,20,15,15,0,0,555,460,95,55,40,20,20,0,20,1703004.36328125,6739.35951797447
